Mechanism,Target rate,Seed,Realised (amputated cols),Realised (all features),Rows fully complete
MCAR,10%,42,0.10101010101010101,0.08547008547008547,92
MCAR,10%,43,0.10101010101010101,0.08547008547008547,93
MCAR,10%,44,0.10101010101010101,0.08547008547008547,89
MCAR,10%,45,0.10101010101010101,0.08547008547008547,97
MCAR,10%,46,0.10101010101010101,0.08547008547008547,88
MCAR,10%,47,0.10101010101010101,0.08547008547008547,98
MCAR,10%,48,0.10101010101010101,0.08547008547008547,103
MCAR,10%,49,0.10101010101010101,0.08547008547008547,86
MCAR,20%,42,0.1986531986531987,0.1680911680911681,22
MCAR,20%,43,0.1986531986531987,0.1680911680911681,28
MCAR,20%,44,0.1986531986531987,0.1680911680911681,32
MCAR,20%,45,0.1986531986531987,0.1680911680911681,26
MCAR,20%,46,0.1986531986531987,0.1680911680911681,20
MCAR,20%,47,0.1986531986531987,0.1680911680911681,26
MCAR,20%,48,0.1986531986531987,0.1680911680911681,33
MCAR,20%,49,0.1986531986531987,0.1680911680911681,29
MCAR,30%,42,0.2996632996632997,0.2535612535612536,7
MCAR,30%,43,0.2996632996632997,0.2535612535612536,5
MCAR,30%,44,0.2996632996632997,0.2535612535612536,4
MCAR,30%,45,0.2996632996632997,0.2535612535612536,6
MCAR,30%,46,0.2996632996632997,0.2535612535612536,8
MCAR,30%,47,0.2996632996632997,0.2535612535612536,9
MCAR,30%,48,0.2996632996632997,0.2535612535612536,7
MCAR,30%,49,0.2996632996632997,0.2535612535612536,5
MAR,10%,42,0.10101010101010101,0.08547008547008547,180
MAR,10%,43,0.10101010101010101,0.08547008547008547,182
MAR,10%,44,0.10101010101010101,0.08547008547008547,181
MAR,10%,45,0.10101010101010101,0.08547008547008547,183
MAR,10%,46,0.10101010101010101,0.08547008547008547,180
MAR,10%,47,0.10101010101010101,0.08547008547008547,172
MAR,10%,48,0.10101010101010101,0.08547008547008547,172
MAR,10%,49,0.10101010101010101,0.08547008547008547,171
MAR,20%,42,0.1986531986531987,0.1680911680911681,140
MAR,20%,43,0.1986531986531987,0.1680911680911681,139
MAR,20%,44,0.1986531986531987,0.1680911680911681,141
MAR,20%,45,0.1986531986531987,0.1680911680911681,145
MAR,20%,46,0.1986531986531987,0.1680911680911681,142
MAR,20%,47,0.1986531986531987,0.1680911680911681,138
MAR,20%,48,0.1986531986531987,0.1680911680911681,134
MAR,20%,49,0.1986531986531987,0.1680911680911681,132
MAR,30%,42,0.2996632996632997,0.2535612535612536,103
MAR,30%,43,0.2996632996632997,0.2535612535612536,110
MAR,30%,44,0.2996632996632997,0.2535612535612536,109
MAR,30%,45,0.2996632996632997,0.2535612535612536,107
MAR,30%,46,0.2996632996632997,0.2535612535612536,107
MAR,30%,47,0.2996632996632997,0.2535612535612536,117
MAR,30%,48,0.2996632996632997,0.2535612535612536,110
MAR,30%,49,0.2996632996632997,0.2535612535612536,109
MNAR,10%,42,0.10101010101010101,0.08547008547008547,102
MNAR,10%,43,0.10101010101010101,0.08547008547008547,97
MNAR,10%,44,0.10101010101010101,0.08547008547008547,100
MNAR,10%,45,0.10101010101010101,0.08547008547008547,91
MNAR,10%,46,0.10101010101010101,0.08547008547008547,113
MNAR,10%,47,0.10101010101010101,0.08547008547008547,96
MNAR,10%,48,0.10101010101010101,0.08547008547008547,100
MNAR,10%,49,0.10101010101010101,0.08547008547008547,103
MNAR,20%,42,0.1986531986531987,0.1680911680911681,39
MNAR,20%,43,0.1986531986531987,0.1680911680911681,35
MNAR,20%,44,0.1986531986531987,0.1680911680911681,34
MNAR,20%,45,0.1986531986531987,0.1680911680911681,28
MNAR,20%,46,0.1986531986531987,0.1680911680911681,37
MNAR,20%,47,0.1986531986531987,0.1680911680911681,35
MNAR,20%,48,0.1986531986531987,0.1680911680911681,36
MNAR,20%,49,0.1986531986531987,0.1680911680911681,33
MNAR,30%,42,0.2996632996632997,0.2535612535612536,13
MNAR,30%,43,0.2996632996632997,0.2535612535612536,10
MNAR,30%,44,0.2996632996632997,0.2535612535612536,8
MNAR,30%,45,0.2996632996632997,0.2535612535612536,8
MNAR,30%,46,0.2996632996632997,0.2535612535612536,12
MNAR,30%,47,0.2996632996632997,0.2535612535612536,13
MNAR,30%,48,0.2996632996632997,0.2535612535612536,13
MNAR,30%,49,0.2996632996632997,0.2535612535612536,13
