method,mechanism,rate,n,nrmse_mean,nrmse_sd,pfc_mean,pfc_sd
KNN,MAR,0.1,8,1.049736094803276,0.0554306559101389,0.5101190476190476,0.030163951093618864
KNN,MAR,0.2,8,1.1331125625913985,0.036814675793615845,0.5254237288135594,0.017364096019385863
KNN,MAR,0.3,8,1.098696468071893,0.0382736644412019,0.5425361155698234,0.03470320460883764
KNN,MCAR,0.1,8,0.9638198294644956,0.08292226812472431,0.4511904761904762,0.04355069950386184
KNN,MCAR,0.2,8,0.9622899213353916,0.028920028086992972,0.4642857142857143,0.020616690515649395
KNN,MCAR,0.3,8,0.9939931390878768,0.03886967202712865,0.4771268057784912,0.018336532357617747
KNN,MNAR,0.1,8,1.4943059154540368,0.06248127520899062,0.7541666666666667,0.015677652621076878
KNN,MNAR,0.2,8,1.5483877431191382,0.04925842157653397,0.7796610169491525,0.01579825284907537
KNN,MNAR,0.3,8,1.577396510401214,0.03308208012406331,0.8146067415730337,0.011981059828124904
MICE,MAR,0.1,8,0.9729815008081617,0.08443137446456449,0.5297619047619048,0.0289934813892872
MICE,MAR,0.2,8,1.0506013416238134,0.03682354842930915,0.5535714285714286,0.018797185333175488
MICE,MAR,0.3,8,1.024591507587069,0.0211912445289989,0.5591894060995185,0.013859455863032102
MICE,MCAR,0.1,8,0.8998511033247854,0.06687779715489255,0.46726190476190477,0.044774748483010794
MICE,MCAR,0.2,8,0.9041750391725533,0.05494548696980508,0.4851694915254237,0.013446278545918728
MICE,MCAR,0.3,8,0.9837182679612227,0.06359131424649626,0.49558587479935795,0.011045991373088287
MICE,MNAR,0.1,8,1.4303762323627072,0.07196473667411554,0.8196428571428571,0.021812509078878675
MICE,MNAR,0.2,8,1.5347906601672126,0.04278525424108551,0.8314164648910412,0.017505208828768347
MICE,MNAR,0.3,8,1.537719029637135,0.024943634975480387,0.8278491171749599,0.012186660227284712
Mean/Mode,MAR,0.1,8,1.0592375787680413,0.046788530100205644,0.4601190476190476,0.017438401004909652
Mean/Mode,MAR,0.2,8,1.1323789137519162,0.039278560589609095,0.45581113801452783,0.020289095643101895
Mean/Mode,MAR,0.3,8,1.0934733525347036,0.02286858657830192,0.46448635634028895,0.009357015178763748
Mean/Mode,MCAR,0.1,8,0.968843382427387,0.06670527852997267,0.44226190476190474,0.03987651005820054
Mean/Mode,MCAR,0.2,8,0.9888219959651847,0.05288158705765964,0.42736077481840196,0.014869723459152296
Mean/Mode,MCAR,0.3,8,1.0173074010836212,0.04362251960831139,0.4249598715890851,0.009544441819888765
Mean/Mode,MNAR,0.1,8,1.644738329721546,0.07321267789089965,0.8458333333333333,0.009837520315632328
Mean/Mode,MNAR,0.2,8,1.691619521116452,0.03686073297475293,0.8053874092009685,0.005326483429413543
Mean/Mode,MNAR,0.3,8,1.664107510721432,0.011082865424214564,0.8920545746388443,0.006850433041178442
RF-iterative,MAR,0.1,8,1.0412861142860546,0.06329855343545343,0.5285714285714286,0.03279447834882707
RF-iterative,MAR,0.2,8,1.1563777454940003,0.04884946654081775,0.5384382566585957,0.018974573495900118
RF-iterative,MAR,0.3,8,1.1330549152347047,0.07469864287529586,0.5337078651685393,0.01593629933858661
RF-iterative,MCAR,0.1,8,0.9273589790806376,0.09761892506458779,0.4660714285714286,0.027583545091803396
RF-iterative,MCAR,0.2,8,0.9458380874521934,0.031991984719417346,0.47185230024213076,0.023704005131221548
RF-iterative,MCAR,0.3,8,0.9998289939138183,0.04948947232210574,0.4757223113964687,0.017307796789399817
RF-iterative,MNAR,0.1,8,1.4380622900665592,0.07829708580850868,0.7613095238095238,0.01283760167807184
RF-iterative,MNAR,0.2,8,1.5042439459872934,0.03901234999194934,0.7378934624697336,0.02164716232392234
RF-iterative,MNAR,0.3,8,1.512365998052678,0.030771271993700895,0.7389646869983948,0.032466835643930624
