method,mechanism,rate,seed,nrmse,pfc,variant_filename,n_missing_cells_scored,n_continuous_cells_scored,n_categorical_cells_scored
KNN,MAR,0.1,42,1.152216782994734,0.5095238095238095,MAR_rate10_seed42.csv,330,120,210
KNN,MAR,0.1,43,1.0616447414939885,0.5476190476190477,MAR_rate10_seed43.csv,330,120,210
KNN,MAR,0.1,44,0.96727743891433,0.4857142857142857,MAR_rate10_seed44.csv,330,120,210
KNN,MAR,0.1,45,1.0208718363232043,0.5523809523809524,MAR_rate10_seed45.csv,330,120,210
KNN,MAR,0.1,46,1.0708918634648115,0.5142857142857142,MAR_rate10_seed46.csv,330,120,210
KNN,MAR,0.1,47,1.0326586766367838,0.49523809523809526,MAR_rate10_seed47.csv,330,120,210
KNN,MAR,0.1,48,1.0110461068731216,0.5142857142857142,MAR_rate10_seed48.csv,330,120,210
KNN,MAR,0.1,49,1.081281311725233,0.46190476190476193,MAR_rate10_seed49.csv,330,120,210
KNN,MAR,0.2,42,1.1403744893044756,0.5012106537530266,MAR_rate20_seed42.csv,649,236,413
KNN,MAR,0.2,43,1.1048758820159459,0.5181598062953995,MAR_rate20_seed43.csv,649,236,413
KNN,MAR,0.2,44,1.1858255417985373,0.5326876513317191,MAR_rate20_seed44.csv,649,236,413
KNN,MAR,0.2,45,1.1131825307100884,0.5254237288135594,MAR_rate20_seed45.csv,649,236,413
KNN,MAR,0.2,46,1.1196027448000851,0.5375302663438256,MAR_rate20_seed46.csv,649,236,413
KNN,MAR,0.2,47,1.1791862457925422,0.5399515738498789,MAR_rate20_seed47.csv,649,236,413
KNN,MAR,0.2,48,1.0779751056095512,0.5472154963680388,MAR_rate20_seed48.csv,649,236,413
KNN,MAR,0.2,49,1.143877960699963,0.5012106537530266,MAR_rate20_seed49.csv,649,236,413
KNN,MAR,0.3,42,1.0765930873414926,0.593900481540931,MAR_rate30_seed42.csv,979,356,623
KNN,MAR,0.3,43,1.1419071205454934,0.5409309791332263,MAR_rate30_seed43.csv,979,356,623
KNN,MAR,0.3,44,1.063090399153823,0.5248796147672552,MAR_rate30_seed44.csv,979,356,623
KNN,MAR,0.3,45,1.0829171629846954,0.5682182985553772,MAR_rate30_seed45.csv,979,356,623
KNN,MAR,0.3,46,1.1580364860377257,0.5264847512038523,MAR_rate30_seed46.csv,979,356,623
KNN,MAR,0.3,47,1.0476390622297997,0.5104333868378812,MAR_rate30_seed47.csv,979,356,623
KNN,MAR,0.3,48,1.107284029347094,0.4959871589085072,MAR_rate30_seed48.csv,979,356,623
KNN,MAR,0.3,49,1.1121043969350188,0.579454253611557,MAR_rate30_seed49.csv,979,356,623
KNN,MCAR,0.1,42,0.8438148127540702,0.45714285714285713,MCAR_rate10_seed42.csv,330,120,210
KNN,MCAR,0.1,43,1.0483506055293161,0.41904761904761906,MCAR_rate10_seed43.csv,330,120,210
KNN,MCAR,0.1,44,0.9202055724212707,0.49047619047619045,MCAR_rate10_seed44.csv,330,120,210
KNN,MCAR,0.1,45,0.9433647468396078,0.3904761904761905,MCAR_rate10_seed45.csv,330,120,210
KNN,MCAR,0.1,46,0.9167973892943188,0.5,MCAR_rate10_seed46.csv,330,120,210
KNN,MCAR,0.1,47,0.9707861076097218,0.4,MCAR_rate10_seed47.csv,330,120,210
KNN,MCAR,0.1,48,1.1119196525972923,0.49523809523809526,MCAR_rate10_seed48.csv,330,120,210
KNN,MCAR,0.1,49,0.955319748670367,0.45714285714285713,MCAR_rate10_seed49.csv,330,120,210
KNN,MCAR,0.2,42,0.9220507648701113,0.46731234866828086,MCAR_rate20_seed42.csv,649,236,413
KNN,MCAR,0.2,43,0.9607646189933033,0.46973365617433416,MCAR_rate20_seed43.csv,649,236,413
KNN,MCAR,0.2,44,0.9273628160910841,0.4261501210653753,MCAR_rate20_seed44.csv,649,236,413
KNN,MCAR,0.2,45,0.9534728018229698,0.46973365617433416,MCAR_rate20_seed45.csv,649,236,413
KNN,MCAR,0.2,46,0.9889536015299292,0.4721549636803874,MCAR_rate20_seed46.csv,649,236,413
KNN,MCAR,0.2,47,0.9636898476417178,0.4430992736077482,MCAR_rate20_seed47.csv,649,236,413
KNN,MCAR,0.2,48,0.9740930101157355,0.4939467312348668,MCAR_rate20_seed48.csv,649,236,413
KNN,MCAR,0.2,49,1.007931909618282,0.4721549636803874,MCAR_rate20_seed49.csv,649,236,413
KNN,MCAR,0.3,42,1.0359280514156357,0.48314606741573035,MCAR_rate30_seed42.csv,979,356,623
KNN,MCAR,0.3,43,0.9572091711102835,0.48314606741573035,MCAR_rate30_seed43.csv,979,356,623
KNN,MCAR,0.3,44,0.9952401910372157,0.4895666131621188,MCAR_rate30_seed44.csv,979,356,623
KNN,MCAR,0.3,45,0.9911760035152858,0.4895666131621188,MCAR_rate30_seed45.csv,979,356,623
KNN,MCAR,0.3,46,0.9551088123273501,0.47351524879614765,MCAR_rate30_seed46.csv,979,356,623
KNN,MCAR,0.3,47,0.945478132526037,0.46869983948635635,MCAR_rate30_seed47.csv,979,356,623
KNN,MCAR,0.3,48,1.042083247392511,0.492776886035313,MCAR_rate30_seed48.csv,979,356,623
KNN,MCAR,0.3,49,1.0297215033786957,0.43659711075441415,MCAR_rate30_seed49.csv,979,356,623
KNN,MNAR,0.1,42,1.4271696147225597,0.7333333333333333,MNAR_rate10_seed42.csv,330,120,210
KNN,MNAR,0.1,43,1.4870929657033807,0.7571428571428571,MNAR_rate10_seed43.csv,330,120,210
KNN,MNAR,0.1,44,1.4098956650556915,0.7857142857142857,MNAR_rate10_seed44.csv,330,120,210
KNN,MNAR,0.1,45,1.5577631537072651,0.7571428571428571,MNAR_rate10_seed45.csv,330,120,210
KNN,MNAR,0.1,46,1.5037596208408797,0.7476190476190476,MNAR_rate10_seed46.csv,330,120,210
KNN,MNAR,0.1,47,1.520965306267377,0.7428571428571429,MNAR_rate10_seed47.csv,330,120,210
KNN,MNAR,0.1,48,1.4565789831324345,0.7619047619047619,MNAR_rate10_seed48.csv,330,120,210
KNN,MNAR,0.1,49,1.5912220142027063,0.7476190476190476,MNAR_rate10_seed49.csv,330,120,210
KNN,MNAR,0.2,42,1.6161437788522268,0.7506053268765133,MNAR_rate20_seed42.csv,649,236,413
KNN,MNAR,0.2,43,1.6007155675235336,0.784503631961259,MNAR_rate20_seed43.csv,649,236,413
KNN,MNAR,0.2,44,1.4895742287101579,0.7627118644067796,MNAR_rate20_seed44.csv,649,236,413
KNN,MNAR,0.2,45,1.5397829933020115,0.774818401937046,MNAR_rate20_seed45.csv,649,236,413
KNN,MNAR,0.2,46,1.4826104053463631,0.7941888619854721,MNAR_rate20_seed46.csv,649,236,413
KNN,MNAR,0.2,47,1.5689516497653544,0.7941888619854721,MNAR_rate20_seed47.csv,649,236,413
KNN,MNAR,0.2,48,1.5705970813976111,0.7869249394673123,MNAR_rate20_seed48.csv,649,236,413
KNN,MNAR,0.2,49,1.518726240055846,0.7893462469733656,MNAR_rate20_seed49.csv,649,236,413
KNN,MNAR,0.3,42,1.5889215928955154,0.8057784911717496,MNAR_rate30_seed42.csv,979,356,623
KNN,MNAR,0.3,43,1.5239100219750201,0.812199036918138,MNAR_rate30_seed43.csv,979,356,623
KNN,MNAR,0.3,44,1.5295670017326553,0.8138041733547352,MNAR_rate30_seed44.csv,979,356,623
KNN,MNAR,0.3,45,1.6170114281222172,0.7945425361155698,MNAR_rate30_seed45.csv,979,356,623
KNN,MNAR,0.3,46,1.6008989955713808,0.8202247191011236,MNAR_rate30_seed46.csv,979,356,623
KNN,MNAR,0.3,47,1.5849983943364299,0.8234349919743178,MNAR_rate30_seed47.csv,979,356,623
