method,mechanism,rate,seed,n_test_patients,shap_rmse,lime_mean_rho,lime_median_rho,lime_n_valid,lime_n_invalid
KNN,MAR,0.1,42,60,0.015017226421249648,0.9506410256410257,0.9560439560439561,60,0
KNN,MAR,0.1,43,60,0.015865026788617252,0.9532967032967032,0.9560439560439561,60,0
KNN,MAR,0.1,44,60,0.022823115920176544,0.935989010989011,0.9395604395604396,60,0
KNN,MAR,0.1,45,60,0.021392321041105788,0.885805860805861,0.8928571428571428,60,0
KNN,MAR,0.1,46,60,0.023225739224275618,0.9448717948717948,0.9560439560439561,60,0
KNN,MAR,0.1,47,60,0.013942953923326758,0.9437728937728936,0.945054945054945,60,0
KNN,MAR,0.1,48,60,0.008382883685937245,0.9577838827838827,0.967032967032967,60,0
KNN,MAR,0.1,49,60,0.015975277772464734,0.9284798534798535,0.9340659340659341,60,0
KNN,MAR,0.2,42,60,0.02976450386480328,0.8734432234432233,0.8846153846153846,60,0
KNN,MAR,0.2,43,60,0.019839540579479495,0.9415750915750916,0.9423076923076923,60,0
KNN,MAR,0.2,44,60,0.018525713056687237,0.8608974358974357,0.8626373626373626,60,0
KNN,MAR,0.2,45,60,0.03030240968224455,0.9014652014652015,0.9038461538461539,60,0
KNN,MAR,0.2,46,60,0.019614135760333568,0.930860805860806,0.9340659340659341,60,0
KNN,MAR,0.2,47,60,0.029464089232535694,0.8765567765567766,0.8791208791208791,60,0
KNN,MAR,0.2,48,60,0.0212604557177981,0.9271978021978025,0.9340659340659341,60,0
KNN,MAR,0.2,49,60,0.028912849150845264,0.9388278388278389,0.9478021978021978,60,0
KNN,MAR,0.3,42,60,0.04462806542540588,0.7853479853479854,0.7857142857142857,60,0
KNN,MAR,0.3,43,60,0.029564939072148445,0.9224358974358975,0.9313186813186813,60,0
KNN,MAR,0.3,44,60,0.024071374333098042,0.9413919413919414,0.945054945054945,60,0
KNN,MAR,0.3,45,60,0.03217677734182483,0.8721611721611721,0.8846153846153846,60,0
KNN,MAR,0.3,46,60,0.03480518110316632,0.8097069597069595,0.804945054945055,60,0
