method,mechanism,rate,n,shap_rmse_mean,shap_rmse_sd,lime_mean_rho_mean,lime_mean_rho_sd
KNN,MAR,0.1,8,0.017078068097144197,0.005095965774134419,0.9375801282051281,0.022938519196431795
KNN,MAR,0.2,8,0.024710462130590898,0.005303938255790659,0.906353021978022,0.03249465104440912
KNN,MAR,0.3,8,0.03170907660922335,0.006918199750657511,0.8619734432234432,0.05234051817330375
KNN,MCAR,0.1,8,0.015354542126448552,0.004235211931825209,0.9369276556776557,0.02284341662331951
KNN,MCAR,0.2,8,0.023644168834379115,0.00532300951026896,0.9043612637362637,0.02832689204944765
KNN,MCAR,0.3,8,0.0230697706496396,0.00584770949921611,0.8863553113553113,0.03273034108401823
KNN,MNAR,0.1,8,0.01666970340971085,0.005607337575087837,0.9352678571428572,0.023084575777747716
KNN,MNAR,0.2,8,0.031441382928273205,0.007049464685926639,0.8621680402930403,0.04360492387401602
KNN,MNAR,0.3,8,0.04821786035189824,0.008509585754434272,0.7315018315018316,0.05658845293892268
MICE,MAR,0.1,8,0.016202555315246968,0.005356847586408338,0.9358058608058608,0.016303746731714985
MICE,MAR,0.2,8,0.022844329329649075,0.006184462610710887,0.8998626373626374,0.036671450947235985
MICE,MAR,0.3,8,0.029722460322533076,0.004735987894942902,0.8604166666666667,0.03827077452014744
MICE,MCAR,0.1,8,0.013873008711289093,0.0033955507416413757,0.9418498168498168,0.02033750632732942
MICE,MCAR,0.2,8,0.02488372454638764,0.00630883887013722,0.8961538461538462,0.01958067948238015
MICE,MCAR,0.3,8,0.028756704060898128,0.011667847611788197,0.8835851648351648,0.027096093170508193
MICE,MNAR,0.1,8,0.02155413310479348,0.006977429250451273,0.9322687728937729,0.015391150207834296
MICE,MNAR,0.2,8,0.03448598741604046,0.00827276322759166,0.8658539377289377,0.028545522439106547
MICE,MNAR,0.3,8,0.055196273669882,0.010615909454021914,0.6894688644688645,0.09849307513142756
Mean/Mode,MAR,0.1,8,0.01530039431210702,0.0038175343016692022,0.9294184981684982,0.010138666632905372
Mean/Mode,MAR,0.2,8,0.0261406147088422,0.003864699237783383,0.8557577838827838,0.03517220800943642
Mean/Mode,MAR,0.3,8,0.03124023692067078,0.002770011664396415,0.8286057692307692,0.01832083486261778
Mean/Mode,MCAR,0.1,8,0.013935769592715233,0.0036125370553393293,0.9395375457875458,0.023005418507843406
Mean/Mode,MCAR,0.2,8,0.026111778130030728,0.008093923365854693,0.8905906593406594,0.056908380540565406
Mean/Mode,MCAR,0.3,8,0.027843370188735277,0.004242217504003134,0.8838827838827839,0.040890098569349956
Mean/Mode,MNAR,0.1,8,0.0217047776014176,0.003057181573334809,0.9288919413919414,0.020618258026444954
Mean/Mode,MNAR,0.2,8,0.037385289644287056,0.005287975562456427,0.8305746336996337,0.044956493645576974
Mean/Mode,MNAR,0.3,8,0.052486721775802124,0.010632578670447881,0.655940934065934,0.09809609782921584
RF-iterative,MAR,0.1,8,0.015345709441742876,0.0036502022341678222,0.9293498168498169,0.016367988662032068
RF-iterative,MAR,0.2,8,0.02222837373358747,0.006259410220019001,0.8860691391941392,0.025941899147062155
RF-iterative,MAR,0.3,8,0.03148150773706972,0.005282010146262679,0.8444139194139194,0.038294596705094164
RF-iterative,MCAR,0.1,8,0.015685162654888986,0.004200039792310821,0.9406364468864469,0.011188956972844543
RF-iterative,MCAR,0.2,8,0.02099420399683434,0.006250343379436618,0.9110119047619047,0.03203175565777253
RF-iterative,MCAR,0.3,8,0.021661077511838895,0.003003232640070554,0.8943108974358974,0.032453757584019846
RF-iterative,MNAR,0.1,8,0.01662016376839736,0.005729670912620523,0.9336080586080586,0.01808410159472731
RF-iterative,MNAR,0.2,8,0.026253780019823585,0.006999598553207566,0.893452380952381,0.025918501258425316
RF-iterative,MNAR,0.3,8,0.03839898050487436,0.00996620955508498,0.815212912087912,0.059965823266946466
