mechanism,rate,metric,chi_square,p,kendalls_w
MCAR,0.1,shap_rmse,3.1499999999999915,0.36907131384475744,0.13124999999999964
MCAR,0.1,lime_mean_rho,1.3499999999999943,0.717295692987169,0.056249999999999765
MCAR,0.2,shap_rmse,3.75,0.28975578119338274,0.15625
MCAR,0.2,lime_mean_rho,0.75,0.8613850804045416,0.03125
MCAR,0.3,shap_rmse,8.699999999999989,0.033557268705538185,0.36249999999999954
MCAR,0.3,lime_mean_rho,1.7999999999999972,0.614934935782538,0.07499999999999989
MAR,0.1,shap_rmse,1.9499999999999886,0.5828489710525528,0.08124999999999953
MAR,0.1,lime_mean_rho,3.75,0.28975578119338274,0.15625
MAR,0.2,shap_rmse,4.799999999999997,0.18704174890490788,0.19999999999999987
MAR,0.2,lime_mean_rho,8.849999999999994,0.03135314933765465,0.36874999999999974
MAR,0.3,shap_rmse,2.3999999999999915,0.49363462271172953,0.09999999999999964
MAR,0.3,lime_mean_rho,6.299999999999997,0.09789265270998862,0.2624999999999999
MNAR,0.1,shap_rmse,8.099999999999994,0.043989589915272756,0.33749999999999974
MNAR,0.1,lime_mean_rho,1.0499999999999972,0.7891558795725214,0.04374999999999988
MNAR,0.2,shap_rmse,12.900000000000006,0.004857928240879957,0.5375000000000002
MNAR,0.2,lime_mean_rho,13.049999999999983,0.004529715794404192,0.5437499999999993
MNAR,0.3,shap_rmse,19.049999999999983,0.00026696718076284686,0.7937499999999993
MNAR,0.3,lime_mean_rho,16.650000000000006,0.0008340749746369889,0.6937500000000002
