method,fold,n_train,n_val,auc,accuracy,imputer_fit_on
KNN,0,160,40,0.6516666666666666,0.775,train_fold_only
KNN,1,160,40,0.5766666666666667,0.725,train_fold_only
KNN,2,160,40,0.7116666666666667,0.8,train_fold_only
KNN,3,160,40,0.73,0.825,train_fold_only
KNN,4,160,40,0.6880877742946707,0.675,train_fold_only
Mean/Mode,0,160,40,0.635,0.8,train_fold_only
Mean/Mode,1,160,40,0.5566666666666666,0.775,train_fold_only
Mean/Mode,2,160,40,0.5866666666666667,0.775,train_fold_only
Mean/Mode,3,160,40,0.7483333333333333,0.75,train_fold_only
Mean/Mode,4,160,40,0.7852664576802508,0.8,train_fold_only
MICE,0,160,40,0.63,0.8,train_fold_only
MICE,1,160,40,0.56,0.775,train_fold_only
MICE,2,160,40,0.6283333333333333,0.8,train_fold_only
MICE,3,160,40,0.7366666666666667,0.775,train_fold_only
MICE,4,160,40,0.7068965517241379,0.8,train_fold_only
RF-iterative,0,160,40,0.6583333333333333,0.775,train_fold_only
RF-iterative,1,160,40,0.5966666666666667,0.725,train_fold_only
RF-iterative,2,160,40,0.6150000000000001,0.75,train_fold_only
RF-iterative,3,160,40,0.705,0.75,train_fold_only
RF-iterative,4,160,40,0.5705329153605015,0.7,train_fold_only
