metric,mechanism,rate,method_a,method_b,statistic,raw_p,adjusted_p,rank_biserial,significance_indicator,n_effective
shap_rmse,MCAR,0.3,KNN,Mean/Mode,4.0,0.0546875,0.328125,-0.7777777777777778,,8
shap_rmse,MCAR,0.3,KNN,MICE,9.0,0.25,1.0,-0.5,,8
shap_rmse,MCAR,0.3,KNN,RF-iterative,14.0,0.640625,1.0,0.2222222222222222,,8
shap_rmse,MCAR,0.3,Mean/Mode,MICE,16.0,0.84375,1.0,0.1111111111111111,,8
shap_rmse,MCAR,0.3,Mean/Mode,RF-iterative,0.0,0.0078125,0.046875,1.0,*,8
shap_rmse,MCAR,0.3,MICE,RF-iterative,3.0,0.0390625,0.234375,0.8333333333333334,,8
lime_mean_rho,MAR,0.2,KNN,Mean/Mode,0.0,0.0078125,0.046875,1.0,*,8
lime_mean_rho,MAR,0.2,KNN,MICE,15.0,0.7421875,1.0,0.16666666666666666,,8
lime_mean_rho,MAR,0.2,KNN,RF-iterative,7.0,0.1484375,0.890625,0.6111111111111112,,8
lime_mean_rho,MAR,0.2,Mean/Mode,MICE,4.0,0.0546875,0.328125,-0.7777777777777778,,8
lime_mean_rho,MAR,0.2,Mean/Mode,RF-iterative,6.0,0.109375,0.65625,-0.6666666666666666,,8
lime_mean_rho,MAR,0.2,MICE,RF-iterative,11.0,0.3828125,1.0,0.3888888888888889,,8
shap_rmse,MNAR,0.1,KNN,Mean/Mode,5.0,0.078125,0.46875,-0.7222222222222222,,8
shap_rmse,MNAR,0.1,KNN,MICE,0.0,0.0078125,0.046875,-1.0,*,8
shap_rmse,MNAR,0.1,KNN,RF-iterative,13.0,0.546875,1.0,0.2777777777777778,,8
shap_rmse,MNAR,0.1,Mean/Mode,MICE,18.0,1.0,1.0,0.0,,8
shap_rmse,MNAR,0.1,Mean/Mode,RF-iterative,6.0,0.109375,0.65625,0.6666666666666666,,8
shap_rmse,MNAR,0.1,MICE,RF-iterative,1.0,0.015625,0.09375,0.9444444444444444,,8
shap_rmse,MNAR,0.2,KNN,Mean/Mode,6.0,0.109375,0.65625,-0.6666666666666666,,8
shap_rmse,MNAR,0.2,KNN,MICE,6.0,0.109375,0.65625,-0.6666666666666666,,8
shap_rmse,MNAR,0.2,KNN,RF-iterative,3.0,0.0390625,0.234375,0.8333333333333334,,8
shap_rmse,MNAR,0.2,Mean/Mode,MICE,13.0,0.546875,1.0,0.2777777777777778,,8
shap_rmse,MNAR,0.2,Mean/Mode,RF-iterative,0.0,0.0078125,0.046875,1.0,*,8
shap_rmse,MNAR,0.2,MICE,RF-iterative,0.0,0.0078125,0.046875,1.0,*,8
lime_mean_rho,MNAR,0.2,KNN,Mean/Mode,5.0,0.078125,0.46875,0.7222222222222222,,8
lime_mean_rho,MNAR,0.2,KNN,MICE,17.0,0.9453125,1.0,0.05555555555555555,,8
lime_mean_rho,MNAR,0.2,KNN,RF-iterative,3.0,0.0390625,0.234375,-0.8333333333333334,,8
lime_mean_rho,MNAR,0.2,Mean/Mode,MICE,6.0,0.109375,0.65625,-0.6666666666666666,,8
lime_mean_rho,MNAR,0.2,Mean/Mode,RF-iterative,0.0,0.0078125,0.046875,-1.0,*,8
lime_mean_rho,MNAR,0.2,MICE,RF-iterative,0.0,0.0078125,0.046875,-1.0,*,8
shap_rmse,MNAR,0.3,KNN,Mean/Mode,3.0,0.0390625,0.234375,-0.8333333333333334,,8
shap_rmse,MNAR,0.3,KNN,MICE,0.0,0.0078125,0.046875,-1.0,*,8
shap_rmse,MNAR,0.3,KNN,RF-iterative,1.0,0.015625,0.09375,0.9444444444444444,,8
shap_rmse,MNAR,0.3,Mean/Mode,MICE,9.0,0.25,1.0,-0.5,,8
shap_rmse,MNAR,0.3,Mean/Mode,RF-iterative,0.0,0.0078125,0.046875,1.0,*,8
shap_rmse,MNAR,0.3,MICE,RF-iterative,0.0,0.0078125,0.046875,1.0,*,8
lime_mean_rho,MNAR,0.3,KNN,Mean/Mode,2.0,0.0234375,0.140625,0.8888888888888888,,8
lime_mean_rho,MNAR,0.3,KNN,MICE,7.0,0.1484375,0.890625,0.6111111111111112,,8
lime_mean_rho,MNAR,0.3,KNN,RF-iterative,2.0,0.0234375,0.140625,-0.8888888888888888,,8
lime_mean_rho,MNAR,0.3,Mean/Mode,MICE,10.0,0.3125,1.0,-0.4444444444444444,,8
lime_mean_rho,MNAR,0.3,Mean/Mode,RF-iterative,0.0,0.0078125,0.046875,-1.0,*,8
lime_mean_rho,MNAR,0.3,MICE,RF-iterative,0.0,0.0078125,0.046875,-1.0,*,8
